Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,NewBed,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea
364 Kooyong Rd,3162,Caulfield South,Southern Metropolitan,Glen Eira,h,1916000,Biggin,S,2016-05-28,2016,5,4,2.0,False,2.0,False,9.3,630,0,205.0
3/21 Gardenvale Rd,3162,Caulfield South,Southern Metropolitan,Glen Eira,u,500000,Ray,VB,2016-08-28,2016,8,2,1.0,False,1.0,False,9.3,90,0,
3/10 Euroka St,3148,Chadstone,Southern Metropolitan,Monash,t,752000,Buxton,S,2016-09-03,2016,9,3,2.0,False,1.0,False,13.6,182,0,
16 Moroney Dr,3148,Chadstone,Southern Metropolitan,Monash,h,1507000,Jellis,S,2016-12-03,2016,12,4,2.0,False,2.0,False,13.6,600,0,
8B Moorong St,3148,Chadstone,Southern Metropolitan,Monash,h,890000,Purplebricks,VB,2016-02-04,2016,2,4,3.0,False,2.0,False,13.6,288,0,158.0
2/44 Railway Pde S,3148,Chadstone,Southern Metropolitan,Monash,u,700000,Bekdon,S,2016-06-04,2016,6,2,2.0,False,1.0,False,13.6,224,0,94.0
23 Thurloo St,3148,Chadstone,Southern Metropolitan,Monash,h,1000000,Buxton,S,2016-08-06,2016,8,3,1.0,False,2.0,False,13.6,606,0,
2/4 Lenna Ct,3148,Chadstone,Southern Metropolitan,Monash,t,865000,Buxton,S,2016-11-07,2016,11,3,2.0,False,2.0,False,13.6,277,0,143.0
2/12 Moorong St,3148,Chadstone,Southern Metropolitan,Monash,t,1042500,Buxton,S,2017-02-11,2017,2,4,3.0,False,2.0,False,13.6,209,0,160.0
5 Bullarto St,3148,Chadstone,Southern Metropolitan,Monash,h,1002000,Ray,S,2016-08-13,2016,8,2,1.0,False,1.0,False,13.6,585,0,97.0
15 Aloomba St,3148,Chadstone,Southern Metropolitan,Monash,h,992000,Gary,S,2016-10-15,2016,10,3,1.0,False,2.0,False,13.6,586,0,
4/5 Rae St,3148,Chadstone,Southern Metropolitan,Monash,h,650000,hockingstuart,PI,2016-10-15,2016,10,3,2.0,False,2.0,False,13.6,160,0,101.0
1/19 Warrina St,3148,Chadstone,Southern Metropolitan,Monash,t,965000,Buxton,SP,2016-09-17,2016,9,4,3.0,False,2.0,False,13.6,273,0,182.0
3 Yambie La,3148,Chadstone,Southern Metropolitan,Monash,h,920000,LITTLE,PI,2016-09-17,2016,9,3,2.0,False,2.0,False,13.6,515,0,
7 Inga Ct,3148,Chadstone,Southern Metropolitan,Monash,h,1301000,Buxton,S,2017-03-18,2017,3,3,1.0,False,2.0,False,13.6,620,0,88.0
2 Fitzroy Gr,3148,Chadstone,Southern Metropolitan,Monash,h,1415500,hockingstuart,S,2016-05-22,2016,5,3,2.0,False,1.0,False,13.6,1033,0,164.0
1/32 Kelly St,3148,Chadstone,Southern Metropolitan,Monash,h,705000,Buxton,S,2016-09-24,2016,9,2,1.0,False,1.0,False,13.6,842,0,
4 Jacana Ct,3148,Chadstone,Southern Metropolitan,Monash,h,1260000,McGrath,S,2017-02-25,2017,2,4,2.0,False,2.0,False,13.6,500,0,277.0
15 Grandview Rd,3148,Chadstone,Southern Metropolitan,Monash,h,1460000,Buxton,S,2016-11-27,2016,11,3,1.0,False,1.0,False,13.6,705,0,
23 Jacana St,3148,Chadstone,Southern Metropolitan,Monash,h,1000000,Thomson,SP,2016-11-27,2016,11,3,1.0,False,2.0,False,13.6,630,0,105.0
2/2 Robert St,3148,Chadstone,Southern Metropolitan,Monash,t,845000,Buxton,S,2016-05-28,2016,5,3,2.0,False,1.0,False,13.6,177,0,111.0
2/19 Thurloo St,3148,Chadstone,Southern Metropolitan,Monash,t,881000,Ray,S,2016-08-28,2016,8,3,2.0,False,1.0,False,13.6,188,0,137.0
60a Hodgkinson St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1270000,Nelson,S,2016-09-03,2016,9,3,2.0,False,0.0,False,3.4,187,0,
66 Noone St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,780000,Harrington,S,2016-06-04,2016,6,2,1.0,False,1.0,False,3.4,155,0,85.0
13 Caroline St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1060000,Nelson,S,2016-11-07,2016,11,3,1.0,False,0.0,False,3.4,193,0,98.0
3/68 Noone St,3068,Clifton Hill,Northern Metropolitan,Yarra,t,930000,Collins,S,2016-11-07,2016,11,3,2.0,False,1.0,False,3.4,124,0,116.0
86 Hodgkinson St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1420000,Collins,S,2016-10-08,2016,10,2,1.0,False,0.0,False,3.4,180,0,
119 Roseneath St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1075000,Nelson,S,2016-10-08,2016,10,2,1.0,False,1.0,False,3.4,174,0,85.0
85 Roseneath St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1105000,Harrington,S,2016-10-08,2016,10,2,1.0,False,1.0,False,3.4,185,0,84.0
413a Wellington St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1209000,Jellis,S,2016-10-08,2016,10,2,1.0,False,1.0,False,3.4,140,0,97.0
32 Caroline St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,3010000,Collins,S,2016-09-10,2016,9,4,3.0,False,2.0,False,3.4,382,0,250.0
17 Myrtle St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1435000,Nelson,S,2016-09-10,2016,9,2,1.0,False,2.0,False,3.4,239,0,96.0
12 Kiewa St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1417000,Nelson,SP,2016-12-10,2016,12,2,1.0,False,0.0,False,3.4,197,0,
40 Myrtle St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1290000,Jellis,S,2016-12-10,2016,12,2,1.0,False,0.0,False,3.4,164,0,99.0
195 Gold St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1226000,Nelson,S,2016-11-12,2016,11,3,2.0,False,0.0,False,3.4,0,1,
3/30 Edmund St,3068,Clifton Hill,Northern Metropolitan,Yarra,u,495000,iTRAK,S,2016-08-13,2016,8,2,1.0,False,1.0,False,3.4,515,0,50.0
4/56 John St,3068,Clifton Hill,Northern Metropolitan,Yarra,u,325000,Collins,VB,2016-08-13,2016,8,1,1.0,False,1.0,False,3.4,0,1,
11 Page St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1370000,Collins,S,2016-08-13,2016,8,3,2.0,False,1.0,False,3.4,176,0,135.0
36 Ogrady St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1620000,Nelson,S,2016-10-15,2016,10,2,1.0,False,2.0,False,3.4,251,0,
69 Field St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1180000,Harrington,SP,2016-07-16,2016,7,3,3.0,False,1.0,False,3.4,142,0,
40 Spensley St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1405000,Nelson,S,2016-09-17,2016,9,2,1.0,False,0.0,False,3.4,219,0,
2A Council St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,880000,Nelson,VB,2017-03-18,2017,3,2,1.0,False,0.0,False,3.4,100,0,
31 Fenwick St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1450000,Nelson,VB,2017-03-18,2017,3,2,1.0,False,0.0,False,3.4,156,0,107.0
104 Noone St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,856000,Nelson,S,2017-03-18,2017,3,2,1.0,False,0.0,False,3.4,170,0,
7/37 Groom St,3068,Clifton Hill,Northern Metropolitan,Yarra,u,885500,Collins,S,2016-06-18,2016,6,2,2.0,False,2.0,False,3.4,0,1,136.0
49 Fenwick St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1680000,Nelson,S,2016-11-19,2016,11,3,2.0,False,1.0,False,3.4,201,0,
1 John St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,730000,Nelson,S,2016-05-22,2016,5,2,1.0,False,1.0,False,3.4,103,0,
18 Barries Pl,3068,Clifton Hill,Northern Metropolitan,Yarra,t,825000,Jellis,SP,2016-09-24,2016,9,3,3.0,False,1.0,False,3.4,67,0,119.0
1/493 Hoddle St,3068,Clifton Hill,Northern Metropolitan,Yarra,u,533000,Jellis,SP,2016-09-24,2016,9,2,1.0,False,1.0,False,3.4,0,1,
20 Gordon St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1430000,Collins,S,2017-02-25,2017,2,2,1.0,False,0.0,False,3.4,151,0,
1/1 Marshall Pl,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1506000,Nelson,S,2017-02-25,2017,2,4,2.0,False,0.0,False,3.4,162,0,169.0
48 Council St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1150000,Nelson,VB,2016-07-26,2016,7,3,1.0,False,1.0,False,3.4,169,0,
3 Hodgkinson St,3068,Clifton Hill,Northern Metropolitan,Yarra,h,1360000,Nelson,S,2016-06-27,2016,6,3,1.0,False,0.0,False,3.4,118,0,118.0
53 John St,3068,Clifton Hill,Northern Metropolitan,Yarra,t,640000,Miles,VB,2016-08-28,2016,8,2,1.0,False,1.0,False,3.4,0,1,
29 Molesworth St,3058,Coburg,Northern Metropolitan,Moreland,h,850000,Brad,SP,2016-09-03,2016,9,2,1.0,False,1.0,False,7.8,371,0,93.0
10 Shackell St,3058,Coburg,Northern Metropolitan,Moreland,h,784000,Nelson,S,2016-09-03,2016,9,2,1.0,False,1.0,False,7.8,286,0,110.0
37 Elizabeth St,3058,Coburg,Northern Metropolitan,Moreland,h,680000,Nelson,S,2016-12-03,2016,12,3,1.0,False,0.0,False,7.8,702,0,108.0
38 Harding St,3058,Coburg,Northern Metropolitan,Moreland,h,1221000,Nelson,S,2016-12-03,2016,12,4,1.0,False,2.0,False,7.8,596,0,
1/58 Moore St,3058,Coburg,Northern Metropolitan,Moreland,t,807000,Nelson,S,2016-12-03,2016,12,2,2.0,False,1.0,False,7.8,0,1,176.0
181 Munro St,3058,Coburg,Northern Metropolitan,Moreland,h,790000,Del,S,2016-12-03,2016,12,3,1.0,False,2.0,False,7.8,371,0,
43 Ohea St,3058,Coburg,Northern Metropolitan,Moreland,h,955000,Nelson,S,2016-12-03,2016,12,4,2.0,False,1.0,False,7.8,295,0,
8 Watchtower Rd,3058,Coburg,Northern Metropolitan,Moreland,h,675000,Walshe,PI,2016-02-04,2016,2,3,1.0,False,2.0,False,7.8,142,0,123.0
12 Hardwick St,3058,Coburg,Northern Metropolitan,Moreland,h,1010000,Jellis,S,2017-03-04,2017,3,3,2.0,False,1.0,False,7.8,278,0,278.0
3 Mavis St,3058,Coburg,Northern Metropolitan,Moreland,h,1202000,Nelson,S,2017-03-04,2017,3,3,2.0,False,2.0,False,7.8,423,0,140.0
243 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,1370000,Ray,S,2017-03-04,2017,3,3,1.0,False,1.0,False,7.8,233,0,180.0
61 Murray Rd,3058,Coburg,Northern Metropolitan,Moreland,h,550000,hockingstuart,S,2017-03-04,2017,3,2,1.0,False,1.0,False,7.8,0,1,
45 Portland St,3058,Coburg,Northern Metropolitan,Moreland,h,1000000,Jellis,VB,2017-03-04,2017,3,3,2.0,False,3.0,False,7.8,370,0,110.0
6 Stawell St,3058,Coburg,Northern Metropolitan,Moreland,h,935500,Brad,S,2017-03-04,2017,3,3,1.0,False,2.0,False,7.8,386,0,
35 The Grove,3058,Coburg,Northern Metropolitan,Moreland,u,2250000,Peter,PI,2017-03-04,2017,3,4,2.0,False,4.0,False,7.8,983,0,
171 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,145000,Jellis,PI,2016-06-04,2016,6,3,1.0,False,1.0,False,7.8,536,0,164.0
191 Ohea St,3058,Coburg,Northern Metropolitan,Moreland,h,905000,LITTLE,S,2016-06-04,2016,6,3,2.0,False,1.0,False,7.8,439,0,
33 Wellington St,3058,Coburg,Northern Metropolitan,Moreland,h,860000,Peter,S,2016-06-04,2016,6,3,1.0,False,1.0,False,7.8,283,0,109.0
16 Linda St,3058,Coburg,Northern Metropolitan,Moreland,h,953000,Jellis,S,2016-08-06,2016,8,2,1.0,False,1.0,False,7.8,170,0,101.0
6 Shackell St,3058,Coburg,Northern Metropolitan,Moreland,h,735000,Nelson,SP,2016-08-06,2016,8,2,1.0,False,1.0,False,7.8,280,0,93.0
15/1 Manna Gum Ct,3058,Coburg,Northern Metropolitan,Moreland,t,550000,Brace,PI,2016-05-07,2016,5,3,2.0,False,2.0,False,7.8,0,1,168.0
56 Rose St,3058,Coburg,Northern Metropolitan,Moreland,h,1100000,Nelson,VB,2016-05-07,2016,5,3,1.0,False,1.0,False,7.8,576,0,
27 Higinbotham St,3058,Coburg,Northern Metropolitan,Moreland,h,947000,Brad,S,2016-11-07,2016,11,3,1.0,False,1.0,False,7.8,372,0,125.0
2/6 McKay St,3058,Coburg,Northern Metropolitan,Moreland,u,500000,Jellis,SP,2016-11-07,2016,11,2,1.0,False,1.0,False,7.8,0,1,74.0
2/58 Moore St,3058,Coburg,Northern Metropolitan,Moreland,t,865000,Nelson,S,2016-11-07,2016,11,3,2.0,False,2.0,False,7.8,263,0,
7/13 Clarendon St,3058,Coburg,Northern Metropolitan,Moreland,u,466000,Nelson,S,2016-10-08,2016,10,2,1.0,False,1.0,False,7.8,0,1,62.0
3/58 Moore St,3058,Coburg,Northern Metropolitan,Moreland,t,740000,Nelson,VB,2016-10-08,2016,10,3,2.0,False,1.0,False,7.8,255,0,164.0
105 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,812000,Nicholson,S,2016-10-08,2016,10,3,1.0,False,1.0,False,7.8,370,0,130.0
107 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,766000,Nicholson,S,2016-10-08,2016,10,3,1.0,False,0.0,False,7.8,378,0,124.0
109 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,825000,Nicholson,S,2016-10-08,2016,10,2,1.0,False,1.0,False,7.8,374,0,118.0
2 Quarry Cct,3058,Coburg,Northern Metropolitan,Moreland,h,1131000,Nelson,S,2016-10-08,2016,10,4,2.0,False,2.0,False,7.8,494,0,300.0
114 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,h,1064000,Nelson,SP,2016-10-08,2016,10,3,2.0,False,1.0,False,7.8,417,0,178.0
3/262 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,t,610000,Ray,PI,2016-10-08,2016,10,2,2.0,False,1.0,False,7.8,114,0,
60 Glengyle St,3058,Coburg,Northern Metropolitan,Moreland,h,1210000,Nelson,S,2016-09-10,2016,9,3,1.0,False,1.0,False,7.8,379,0,125.0
8/6 McKay St,3058,Coburg,Northern Metropolitan,Moreland,u,434000,Nelson,S,2016-09-10,2016,9,2,1.0,False,1.0,False,7.8,0,1,80.0
4/44 Victoria St,3058,Coburg,Northern Metropolitan,Moreland,u,653000,Peter,SP,2016-09-10,2016,9,2,1.0,False,1.0,False,7.8,129,0,107.0
2/118 Bruce St,3058,Coburg,Northern Metropolitan,Moreland,t,640000,Nelson,S,2016-12-10,2016,12,3,1.0,False,2.0,False,7.8,119,0,109.0
31 Elizabeth St,3058,Coburg,Northern Metropolitan,Moreland,h,820000,Peter,S,2016-12-10,2016,12,2,1.0,False,1.0,False,7.8,597,0,
7 Gladstone St,3058,Coburg,Northern Metropolitan,Moreland,h,1250000,Jellis,S,2016-12-10,2016,12,4,1.0,False,2.0,False,7.8,613,0,
21 Governors Rd,3058,Coburg,Northern Metropolitan,Moreland,h,1335000,Nelson,S,2016-12-10,2016,12,5,3.0,False,2.0,False,7.8,390,0,
56 The Grove,3058,Coburg,Northern Metropolitan,Moreland,h,1900000,hockingstuart,VB,2016-12-10,2016,12,6,2.0,False,2.0,False,7.8,1060,0,
5 Donne St,3058,Coburg,Northern Metropolitan,Moreland,h,1090000,ASL,S,2016-11-12,2016,11,3,1.0,False,1.0,False,7.8,464,0,
41 Service St,3058,Coburg,Northern Metropolitan,Moreland,h,1130000,Re,SP,2016-11-12,2016,11,3,1.0,False,2.0,False,7.8,735,0,127.0
1 Sutherland St,3058,Coburg,Northern Metropolitan,Moreland,h,1145000,Nelson,S,2016-11-12,2016,11,4,2.0,False,2.0,False,7.8,480,0,
38 Budds St,3058,Coburg,Northern Metropolitan,Moreland,t,657000,Nelson,SP,2016-08-13,2016,8,2,1.0,False,2.0,False,7.8,138,0,
1e The Avenue,3058,Coburg,Northern Metropolitan,Moreland,h,763000,Woodards,S,2016-05-14,2016,5,3,2.0,False,1.0,False,7.8,107,0,110.0
53 Hawthorn St,3058,Coburg,Northern Metropolitan,Moreland,h,903000,Nelson,S,2016-10-15,2016,10,2,1.0,False,1.0,False,7.8,253,0,94.0
4 Miller St,3058,Coburg,Northern Metropolitan,Moreland,h,1000000,Nelson,S,2016-10-15,2016,10,3,1.0,False,1.0,False,7.8,431,0,117.0
13 Shaftsbury St,3058,Coburg,Northern Metropolitan,Moreland,h,1742000,Nelson,SP,2016-10-15,2016,10,3,2.0,False,4.0,False,7.8,482,0,256.0
12 Gordon St,3058,Coburg,Northern Metropolitan,Moreland,h,865000,Brad,S,2016-04-16,2016,4,4,1.0,False,1.0,False,7.8,452,0,125.0
11/5 Industry La,3058,Coburg,Northern Metropolitan,Moreland,u,485000,Nelson,VB,2016-04-16,2016,4,2,2.0,False,1.0,False,7.8,0,1,96.0
23 Berry St,3058,Coburg,Northern Metropolitan,Moreland,h,1278000,Peter,S,2016-07-16,2016,7,3,2.0,False,3.0,False,7.8,405,0,156.0
4/93 Harding St,3058,Coburg,Northern Metropolitan,Moreland,t,590000,Ray,VB,2016-09-17,2016,9,3,2.0,False,2.0,False,7.8,0,1,109.0
45 Kerferd St,3058,Coburg,Northern Metropolitan,Moreland,h,1000000,Peter,SP,2016-09-17,2016,9,4,2.0,False,1.0,False,7.8,381,0,
15/1 Manna Gum Ct,3058,Coburg,Northern Metropolitan,Moreland,t,590000,Brace,PI,2016-09-17,2016,9,3,2.0,False,2.0,False,7.8,0,1,168.0
3 Phillips St,3058,Coburg,Northern Metropolitan,Moreland,h,1030000,Considine,S,2016-09-17,2016,9,3,1.0,False,1.0,False,7.8,404,0,
19 Audley St,3058,Coburg,Northern Metropolitan,Moreland,h,1136000,Ray,S,2017-03-18,2017,3,4,3.0,False,1.0,False,7.8,420,0,146.0
13 Carron St,3058,Coburg,Northern Metropolitan,Moreland,t,635000,Ray,S,2017-03-18,2017,3,2,1.0,False,1.0,False,7.8,97,0,95.0
196 Ohea St,3058,Coburg,Northern Metropolitan,Moreland,h,1061000,Brad,S,2017-03-18,2017,3,3,1.0,False,1.0,False,7.8,527,0,
9 Vincent St,3058,Coburg,Northern Metropolitan,Moreland,h,1155000,Nelson,S,2017-03-18,2017,3,4,1.0,False,2.0,False,7.8,370,0,
6 Farm Rd,3058,Coburg,Northern Metropolitan,Moreland,h,650000,RT,PI,2016-06-18,2016,6,3,2.0,False,2.0,False,7.8,312,0,
89 Gordon St,3058,Coburg,Northern Metropolitan,Moreland,h,1286000,Nelson,S,2016-06-18,2016,6,3,2.0,False,2.0,False,7.8,435,0,
31 Hardwick St,3058,Coburg,Northern Metropolitan,Moreland,h,885000,Nelson,S,2016-06-18,2016,6,3,1.0,False,2.0,False,7.8,255,0,
13 Hudson St,3058,Coburg,Northern Metropolitan,Moreland,h,1160000,Jellis,PI,2016-06-18,2016,6,4,2.0,False,5.0,False,7.8,371,0,
203 Munro St,3058,Coburg,Northern Metropolitan,Moreland,h,1400000,RE,S,2016-06-18,2016,6,4,1.0,False,1.0,False,7.8,856,0,189.0
403/19 Pentridge Bvd,3058,Coburg,Northern Metropolitan,Moreland,u,470000,Raine,SP,2016-06-18,2016,6,2,2.0,False,1.0,False,7.8,0,1,
8 Gilbert St,3058,Coburg,Northern Metropolitan,Moreland,h,1260000,Jellis,S,2016-11-19,2016,11,3,2.0,False,0.0,False,7.8,407,0,230.0
1/33 Sheffield St,3058,Coburg,Northern Metropolitan,Moreland,h,920000,Jellis,SP,2016-11-19,2016,11,2,1.0,False,0.0,False,7.8,157,0,
52 Stawell St,3058,Coburg,Northern Metropolitan,Moreland,h,841000,Re,S,2016-11-19,2016,11,3,1.0,False,3.0,False,7.8,385,0,98.0
4/2 Vincent St,3058,Coburg,Northern Metropolitan,Moreland,u,537500,Nelson,S,2016-11-19,2016,11,2,1.0,False,1.0,False,7.8,0,1,73.0
59 Moore St,3058,Coburg,Northern Metropolitan,Moreland,h,1130000,Brad,S,2016-08-22,2016,8,2,1.0,False,2.0,False,7.8,520,0,
5/39 Service St,3058,Coburg,Northern Metropolitan,Moreland,t,598000,Nelson,S,2016-08-22,2016,8,2,1.0,False,1.0,False,7.8,108,0,100.0
2 Walsh St,3058,Coburg,Northern Metropolitan,Moreland,h,1120000,Raine,S,2016-08-22,2016,8,3,2.0,False,1.0,False,7.8,293,0,180.0
24 Webb St,3058,Coburg,Northern Metropolitan,Moreland,h,870000,Nelson,S,2016-08-22,2016,8,3,1.0,False,1.0,False,7.8,371,0,100.0
27 Bruce St,3058,Coburg,Northern Metropolitan,Moreland,h,680000,Raine,PI,2016-04-23,2016,4,2,1.0,False,2.0,False,7.8,462,0,72.0
185 Moreland Rd,3058,Coburg,Northern Metropolitan,Moreland,h,482500,Raine,S,2016-04-23,2016,4,1,1.0,False,1.0,False,7.8,108,0,
155 Nicholson St,3058,Coburg,Northern Metropolitan,Moreland,h,825000,Ray,S,2016-04-23,2016,4,3,1.0,False,2.0,False,7.8,577,0,131.0
11 Station St,3058,Coburg,Northern Metropolitan,Moreland,h,725000,Brad,S,2016-04-23,2016,4,3,1.0,False,0.0,False,7.8,238,0,131.0
144 The Avenue,3058,Coburg,Northern Metropolitan,Moreland,h,1250000,Nelson,VB,2016-04-23,2016,4,4,3.0,False,1.0,False,7.8,515,0,249.0
2 Franklin St,3058,Coburg,Northern Metropolitan,Moreland,h,1008000,Jellis,S,2016-09-24,2016,9,2,1.0,False,3.0,False,7.8,457,0,89.0
3/20 Loch St,3058,Coburg,Northern Metropolitan,Moreland,t,599000,Ray,S,2016-09-24,2016,9,2,2.0,False,1.0,False,7.8,76,0,
50a Rennie St,3058,Coburg,Northern Metropolitan,Moreland,h,860000,Nelson,S,2016-09-24,2016,9,2,1.0,False,1.0,False,7.8,483,0,
1 Shaftsbury St,3058,Coburg,Northern Metropolitan,Moreland,h,990000,Grantham,SP,2016-09-24,2016,9,4,1.0,False,1.0,False,7.8,488,0,142.0
3/30 Shaftsbury St,3058,Coburg,Northern Metropolitan,Moreland,u,451000,RT,S,2016-09-24,2016,9,2,1.0,False,1.0,False,7.8,0,1,72.0
211 Bell St,3058,Coburg,Northern Metropolitan,Moreland,h,635000,Brad,S,2017-02-25,2017,2,2,2.0,False,3.0,False,7.8,339,0,149.0
15 Hardwick St,3058,Coburg,Northern Metropolitan,Moreland,h,1020000,Raine,PI,2017-02-25,2017,2,5,2.0,False,4.0,False,7.8,381,0,286.0
6 Hardwick St,3058,Coburg,Northern Metropolitan,Moreland,h,967000,Nelson,S,2017-02-25,2017,2,3,1.0,False,1.0,False,7.8,169,0,
32A Kelson St,3058,Coburg,Northern Metropolitan,Moreland,h,1025000,Jellis,VB,2017-02-25,2017,2,3,1.0,False,3.0,False,7.8,336,0,112.0
37 Kelson St,3058,Coburg,Northern Metropolitan,Moreland,h,700000,Brad,SP,2017-02-25,2017,2,3,1.0,False,1.0,False,7.8,138,0,102.0
48 Murray St,3058,Coburg,Northern Metropolitan,Moreland,h,1130000,Nelson,S,2017-02-25,2017,2,3,1.0,False,3.0,False,7.8,206,0,80.0
25a Ohea St,3058,Coburg,Northern Metropolitan,Moreland,h,835000,Peter,SA,2017-02-25,2017,2,3,1.0,False,2.0,False,7.8,385,0,
212 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,h,1075000,Hodges,S,2017-02-25,2017,2,4,1.0,False,4.0,False,7.8,531,0,187.0
96 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,h,845000,Brad,S,2017-02-25,2017,2,3,1.0,False,1.0,False,7.8,221,0,
2/618 Sydney Rd,3058,Coburg,Northern Metropolitan,Moreland,t,600000,Brad,S,2017-02-25,2017,2,3,1.0,False,1.0,False,7.8,102,0,95.0
185 The Avenue,3058,Coburg,Northern Metropolitan,Moreland,h,1461000,Jellis,S,2017-02-25,2017,2,4,2.0,False,2.0,False,7.8,571,0,
14 Rose St,3058,Coburg,Northern Metropolitan,Moreland,h,1150000,Peter,PI,2016-07-26,2016,7,4,2.0,False,2.0,False,7.8,43,0,205.0
3/19 Chandos St,3058,Coburg,Northern Metropolitan,Moreland,u,515000,Ray,S,2016-06-27,2016,6,2,1.0,False,2.0,False,7.8,0,1,70.0
124 Ohea St,3058,Coburg,Northern Metropolitan,Moreland,h,770000,Raine,PI,2016-06-27,2016,6,3,1.0,False,2.0,False,7.8,408,0,
5/228 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,h,472000,Nelson,S,2016-06-27,2016,6,2,1.0,False,1.0,False,7.8,500,0,69.0
32 Rose St,3058,Coburg,Northern Metropolitan,Moreland,h,901000,Peter,S,2016-06-27,2016,6,2,1.0,False,1.0,False,7.8,545,0,107.0
9 Sargood St,3058,Coburg,Northern Metropolitan,Moreland,h,642000,Nelson,S,2016-06-27,2016,6,2,1.0,False,0.0,False,7.8,167,0,
1/51 The Grove,3058,Coburg,Northern Metropolitan,Moreland,h,605000,Jellis,S,2016-06-27,2016,6,2,1.0,False,1.0,False,7.8,0,1,13.0
3/117 Gordon St,3058,Coburg,Northern Metropolitan,Moreland,t,687000,Nelson,S,2016-11-27,2016,11,3,1.0,False,1.0,False,7.8,116,0,140.0
100 Reynard St,3058,Coburg,Northern Metropolitan,Moreland,h,975000,Re,PI,2016-11-27,2016,11,4,2.0,False,2.0,False,7.8,307,0,203.0
28 Rodda St,3058,Coburg,Northern Metropolitan,Moreland,h,985000,Jellis,S,2016-11-27,2016,11,3,1.0,False,1.0,False,7.8,309,0,
38 Soudan St,3058,Coburg,Northern Metropolitan,Moreland,h,835000,hockingstuart,S,2016-11-27,2016,11,3,1.0,False,1.0,False,7.8,459,0,
11 Vincent St,3058,Coburg,Northern Metropolitan,Moreland,h,951000,Nelson,SP,2016-11-27,2016,11,3,2.0,False,0.0,False,7.8,342,0,
9 Beckley St,3058,Coburg,Northern Metropolitan,Moreland,h,1370000,Nelson,S,2016-05-28,2016,5,3,1.0,False,1.0,False,7.8,563,0,130.0
265 Bell St,3058,Coburg,Northern Metropolitan,Moreland,h,700000,Nelson,VB,2016-05-28,2016,5,2,1.0,False,2.0,False,7.8,381,0,92.0
2/44 Berry St,3058,Coburg,Northern Metropolitan,Moreland,t,810000,Nelson,S,2016-05-28,2016,5,3,2.0,False,1.0,False,7.8,213,0,131.0
3/87 Gaffney St,3058,Coburg,Northern Metropolitan,Moreland,u,445000,Raine,SP,2016-05-28,2016,5,2,1.0,False,1.0,False,7.8,0,1,
13 Kaye Ct,3058,Coburg,Northern Metropolitan,Moreland,h,838000,Jellis,S,2016-05-28,2016,5,4,1.0,False,1.0,False,7.8,576,0,147.0
2 McPherson St,3058,Coburg,Northern Metropolitan,Moreland,h,810000,Nelson,S,2016-05-28,2016,5,2,1.0,False,1.0,False,7.8,370,0,
5 Saunders St,3058,Coburg,Northern Metropolitan,Moreland,h,1150000,Nelson,PI,2016-05-28,2016,5,4,1.0,False,2.0,False,7.8,633,0,164.0
6 Younger St,3058,Coburg,Northern Metropolitan,Moreland,h,931000,Brad,SP,2016-05-28,2016,5,3,1.0,False,1.0,False,7.8,412,0,160.0
