Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,Bedroom,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea,BuildingArea_was_missing
124c Hoffmans Rd,3040,Essendon,Western Metropolitan,Moonee Valley,t,720000,Frank,S,2016-10-15,2016,10,3,1.0,False,2.0,False,8.0,190,0,142.0,False
2/57 Lincoln Rd,3040,Essendon,Western Metropolitan,Moonee Valley,h,732500,Nelson,S,2016-10-15,2016,10,2,1.0,False,1.0,False,8.0,196,0,99.0,True
33 McCarron Pde,3040,Essendon,Western Metropolitan,Moonee Valley,h,1635000,Nelson,VB,2016-10-15,2016,10,4,1.0,False,2.0,False,8.0,638,0,227.0,False
13/947 Mt Alexander Rd,3040,Essendon,Western Metropolitan,Moonee Valley,u,485000,Pagan,SP,2016-10-15,2016,10,2,1.0,False,1.0,False,8.0,0,1,73.0,False
108 Ogilvie St,3040,Essendon,Western Metropolitan,Moonee Valley,h,980000,Brad,S,2016-10-15,2016,10,3,1.0,False,3.0,False,8.0,503,0,126.0,True
1/48 Spencer St,3040,Essendon,Western Metropolitan,Moonee Valley,u,840000,Nelson,S,2016-10-15,2016,10,3,2.0,False,2.0,False,8.0,0,1,135.0,True
130 Tennyson St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1001000,Jellis,S,2016-10-15,2016,10,2,1.0,False,2.0,False,8.0,244,0,105.0,True
26a Violet St,3040,Essendon,Western Metropolitan,Moonee Valley,u,891000,Brad,S,2016-10-15,2016,10,3,2.0,False,1.0,False,8.0,0,1,136.0,True
9a Ballater St,3040,Essendon,Western Metropolitan,Moonee Valley,u,800000,Paul,S,2016-04-16,2016,4,2,1.0,False,2.0,False,8.0,0,1,80.0,True
9/160 Napier St,3040,Essendon,Western Metropolitan,Moonee Valley,u,280000,Pagan,SP,2016-04-16,2016,4,1,1.0,False,1.0,False,8.0,0,1,49.0,False
211 Napier St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1467000,Brad,S,2016-04-16,2016,4,3,2.0,False,1.0,False,8.0,683,0,145.0,False
11 Raleigh St,3040,Essendon,Western Metropolitan,Moonee Valley,h,770000,Brad,S,2016-04-16,2016,4,3,1.0,False,0.0,False,8.0,438,0,126.0,True
15/18 Raleigh St,3040,Essendon,Western Metropolitan,Moonee Valley,u,446000,Nelson,S,2016-04-16,2016,4,2,1.0,False,1.0,False,8.0,0,1,77.0,True
20 Warner St,3040,Essendon,Western Metropolitan,Moonee Valley,h,890000,Nelson,PI,2016-04-16,2016,4,2,1.0,False,1.0,False,8.0,649,0,108.0,False
11 McPhail St,3040,Essendon,Western Metropolitan,Moonee Valley,h,870000,Nelson,PI,2016-07-16,2016,7,2,1.0,False,2.0,False,8.0,319,0,120.0,False
105 Ogilvie St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1500000,Nelson,S,2016-07-16,2016,7,4,2.0,False,2.0,False,8.0,858,0,198.0,True
151 Ogilvie St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1266000,Brad,S,2016-07-16,2016,7,2,1.0,False,2.0,False,8.0,635,0,108.0,True
49 Albion St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1134000,Barry,S,2016-09-17,2016,9,3,1.0,False,1.0,False,8.0,551,0,114.0,False
5 Ballater St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1756000,Frank,S,2016-09-17,2016,9,5,2.0,False,5.0,False,8.0,963,0,214.0,True
3/23 Daisy St,3040,Essendon,Western Metropolitan,Moonee Valley,u,320500,Nelson,S,2016-09-17,2016,9,1,1.0,False,1.0,False,8.0,0,1,52.0,False
3/82 Glass St,3040,Essendon,Western Metropolitan,Moonee Valley,u,650000,Nelson,S,2016-09-17,2016,9,2,1.0,False,1.0,False,8.0,0,1,75.0,True
2 McHale Ct,3040,Essendon,Western Metropolitan,Moonee Valley,h,1065000,Nelson,VB,2016-09-17,2016,9,2,1.0,False,2.0,False,8.0,477,0,143.0,False
1/139 Roberts St,3040,Essendon,Western Metropolitan,Moonee Valley,u,667000,Nelson,S,2016-09-17,2016,9,2,1.0,False,1.0,False,8.0,0,1,75.0,True
37 Woodland St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1610000,Hodges,S,2016-09-17,2016,9,4,2.0,False,2.0,False,8.0,601,0,250.0,False
131 Bradshaw St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1695000,Nelson,S,2017-03-18,2017,3,3,1.0,False,3.0,False,8.0,855,0,135.0,True
24A Daisy St,3040,Essendon,Western Metropolitan,Moonee Valley,h,930000,Barry,S,2017-03-18,2017,3,2,1.0,False,2.0,False,8.0,225,0,107.0,False
18 Hoddle St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1870000,Nelson,S,2017-03-18,2017,3,4,1.0,False,1.0,False,8.0,700,0,184.0,True
5/36 King St,3040,Essendon,Western Metropolitan,Moonee Valley,u,395000,Jellis,SP,2017-03-18,2017,3,2,1.0,False,1.0,False,8.0,0,1,68.0,False
79 Lincoln Rd,3040,Essendon,Western Metropolitan,Moonee Valley,h,1726000,Nelson,S,2017-03-18,2017,3,4,2.0,False,2.0,False,8.0,705,0,184.0,True
53A Market St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1050000,Nelson,S,2017-03-18,2017,3,3,1.0,False,1.0,False,8.0,420,0,130.0,True
101 McCracken St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1470000,Nelson,S,2017-03-18,2017,3,3,1.0,False,1.0,False,8.0,687,0,120.0,False
2/161 Ogilvie St,3040,Essendon,Western Metropolitan,Moonee Valley,h,801500,Barry,S,2017-03-18,2017,3,3,1.0,False,1.0,False,8.0,175,0,114.0,True
1/13 Winifred St,3040,Essendon,Western Metropolitan,Moonee Valley,u,480000,McDonald,VB,2017-03-18,2017,3,2,1.0,False,1.0,False,8.0,0,1,69.0,True
59 Brewster St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1475000,Paul,PI,2016-06-18,2016,6,3,1.0,False,2.0,False,8.0,388,0,117.0,True
1/247 Keilor Rd,3040,Essendon,Western Metropolitan,Moonee Valley,t,750000,Brad,VB,2016-06-18,2016,6,3,1.0,False,1.0,False,8.0,253,0,145.0,False
3/7 Violet St,3040,Essendon,Western Metropolitan,Moonee Valley,u,390000,Nelson,VB,2016-06-18,2016,6,2,1.0,False,1.0,False,8.0,0,1,66.0,False
4/10 Ardoch St,3040,Essendon,Western Metropolitan,Moonee Valley,u,453000,Nelson,S,2016-11-19,2016,11,2,1.0,False,1.0,False,8.0,0,1,74.0,True
1/16 Leake St,3040,Essendon,Western Metropolitan,Moonee Valley,u,1170000,Barry,SP,2016-11-19,2016,11,4,2.0,False,2.0,False,8.0,0,1,180.0,False
55 Lincoln Rd,3040,Essendon,Western Metropolitan,Moonee Valley,h,1600000,Brad,SP,2016-11-19,2016,11,4,3.0,False,1.0,False,8.0,519,0,218.0,False
33 McCarron Pde,3040,Essendon,Western Metropolitan,Moonee Valley,h,1535000,Nelson,SP,2016-11-19,2016,11,4,1.0,False,2.0,False,8.0,638,0,227.0,False
22 Wheeler Pl,3040,Essendon,Western Metropolitan,Moonee Valley,h,1400000,Nelson,SP,2016-11-19,2016,11,3,2.0,False,2.0,False,8.0,383,0,163.0,True
4/20 William St,3040,Essendon,Western Metropolitan,Moonee Valley,u,435000,Nelson,S,2016-11-19,2016,11,2,1.0,False,1.0,False,8.0,0,1,66.0,False
7/18 Raleigh St,3040,Essendon,Western Metropolitan,Moonee Valley,u,457000,Barry,S,2016-08-22,2016,8,2,1.0,False,1.0,False,8.0,0,1,71.0,True
22 Tweedside St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1460000,Paul,S,2016-08-22,2016,8,3,2.0,False,1.0,False,8.0,605,0,138.0,False
1/15 Gilbertson St,3040,Essendon,Western Metropolitan,Moonee Valley,u,736000,Nelson,S,2016-04-23,2016,4,2,1.0,False,1.0,False,8.0,0,1,106.0,False
3/136 Hoffmans Rd,3040,Essendon,Western Metropolitan,Moonee Valley,u,405000,Nelson,S,2016-09-24,2016,9,2,1.0,False,1.0,False,8.0,0,1,75.0,True
5/12 Schofield St,3040,Essendon,Western Metropolitan,Moonee Valley,u,450000,Brad,SP,2016-09-24,2016,9,2,1.0,False,1.0,False,8.0,0,1,65.0,False
1/35 William St,3040,Essendon,Western Metropolitan,Moonee Valley,u,740000,Nelson,S,2016-09-24,2016,9,2,1.0,False,1.0,False,8.0,0,1,104.0,False
1/19 Cameron Rd,3040,Essendon,Western Metropolitan,Moonee Valley,u,691000,Brad,SP,2017-02-25,2017,2,2,1.0,False,1.0,False,8.0,0,1,80.0,False
8/19 Fletcher St,3040,Essendon,Western Metropolitan,Moonee Valley,u,370000,Rendina,VB,2017-02-25,2017,2,2,1.0,False,0.0,False,8.0,0,1,69.0,True
23 MacKay St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1255000,Brad,S,2017-02-25,2017,2,2,1.0,False,1.0,False,8.0,0,1,94.0,True
154 Spencer St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1560000,Barry,S,2017-02-25,2017,2,4,1.0,False,2.0,False,8.0,650,0,165.0,True
8 Buckley St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1330000,Barry,S,2016-07-26,2016,7,3,1.0,False,4.0,False,8.0,687,0,134.0,True
31 Graves St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1625000,Nelson,S,2016-07-26,2016,7,3,2.0,False,1.0,False,8.0,858,0,165.0,False
7 Hilda St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1150000,Paul,S,2016-07-26,2016,7,3,1.0,False,0.0,False,8.0,300,0,145.0,False
47 Hoddle St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1085000,Barry,S,2016-06-27,2016,6,3,1.0,False,1.0,False,8.0,325,0,118.0,True
9 Mountain St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1800000,Joe,VB,2016-06-27,2016,6,6,2.0,False,2.0,False,8.0,870,0,210.0,True
8/30 Nicholson St,3040,Essendon,Western Metropolitan,Moonee Valley,u,360000,Nelson,VB,2016-06-27,2016,6,2,1.0,False,1.0,False,8.0,0,1,68.0,False
2/67 Nimmo St,3040,Essendon,Western Metropolitan,Moonee Valley,u,645000,Nelson,SP,2016-06-27,2016,6,2,1.0,False,1.0,False,8.0,0,1,88.0,False
8/15 Shaftesbury St,3040,Essendon,Western Metropolitan,Moonee Valley,u,250000,Brad,VB,2016-06-27,2016,6,1,1.0,False,1.0,False,8.0,0,1,125.0,False
16 Cliff St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1630000,Nelson,S,2016-11-27,2016,11,3,2.0,False,2.0,False,8.0,563,0,161.0,True
10 Deakin St,3040,Essendon,Western Metropolitan,Moonee Valley,h,850000,Hodges,PI,2016-11-27,2016,11,3,2.0,False,1.0,False,8.0,580,0,162.0,True
2/7 Graves St,3040,Essendon,Western Metropolitan,Moonee Valley,u,872000,Nelson,S,2016-11-27,2016,11,3,1.0,False,1.0,False,8.0,0,1,135.0,False
71A Price St,3040,Essendon,Western Metropolitan,Moonee Valley,t,935000,Alexkarbon,PI,2016-11-27,2016,11,3,2.0,False,2.0,False,8.0,247,0,156.0,True
1/1 Thomson St,3040,Essendon,Western Metropolitan,Moonee Valley,u,630000,Nelson,S,2016-11-27,2016,11,2,1.0,False,1.0,False,8.0,0,1,83.0,False
5/8 Violet St,3040,Essendon,Western Metropolitan,Moonee Valley,u,440000,Brad,S,2016-11-27,2016,11,2,1.0,False,1.0,False,8.0,0,1,77.0,False
31 Elder Pde,3040,Essendon,Western Metropolitan,Moonee Valley,h,1500000,Red,PI,2016-05-28,2016,5,3,2.0,False,3.0,False,8.0,440,0,190.0,False
5 Raleigh St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1290000,Nelson,S,2016-05-28,2016,5,3,1.0,False,2.0,False,8.0,605,0,133.0,True
15 Wright St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1045000,Nelson,S,2016-05-28,2016,5,3,1.0,False,1.0,False,8.0,429,0,132.0,True
38 Alfred Rd,3040,Essendon,Western Metropolitan,Moonee Valley,h,1290000,Nelson,S,2016-08-28,2016,8,3,1.0,False,1.0,False,8.0,618,0,132.0,False
95 Bradshaw St,3040,Essendon,Western Metropolitan,Moonee Valley,h,953000,Nelson,S,2016-08-28,2016,8,2,1.0,False,1.0,False,8.0,414,0,103.0,True
1/52 Elder Pde,3040,Essendon,Western Metropolitan,Moonee Valley,u,820000,Nelson,S,2016-08-28,2016,8,3,1.0,False,1.0,False,8.0,0,1,110.0,True
5 Loeman St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1270000,Nelson,PI,2016-08-28,2016,8,3,2.0,False,2.0,False,8.0,411,0,266.0,False
21 Miller St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1445000,Nelson,S,2016-08-28,2016,8,3,2.0,False,1.0,False,8.0,400,0,168.0,False
33 Ogilvie St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1113000,Brad,S,2016-08-28,2016,8,3,1.0,False,2.0,False,8.0,533,0,127.0,False
4/11 Spencer St,3040,Essendon,Western Metropolitan,Moonee Valley,u,370000,Barry,VB,2016-08-28,2016,8,2,1.0,False,1.0,False,8.0,0,1,59.0,False
1 Braemar St,3040,Essendon,Western Metropolitan,Moonee Valley,h,1505000,Jellis,S,2016-07-30,2016,7,3,2.0,False,2.0,False,8.0,625,0,169.0,True
6/7 Schofield St,3040,Essendon,Western Metropolitan,Moonee Valley,t,590000,Brad,S,2016-07-30,2016,7,2,1.0,False,1.0,False,8.0,0,1,97.0,True
2/17 Bulla Rd,3041,Essendon North,Western Metropolitan,Moonee Valley,u,396000,Barry,S,2016-09-03,2016,9,2,1.0,False,1.0,False,9.4,0,1,56.0,False
3 Oshannassy St,3041,Essendon North,Western Metropolitan,Moonee Valley,h,1580000,Barry,S,2016-06-04,2016,6,3,2.0,False,2.0,False,9.4,758,0,169.0,True
2/10 Oshannassy St,3041,Essendon North,Western Metropolitan,Moonee Valley,u,393000,Brad,S,2016-08-06,2016,8,2,1.0,False,1.0,False,9.4,0,1,76.0,True
4/17 Bulla Rd,3041,Essendon North,Western Metropolitan,Moonee Valley,u,260000,Brad,S,2016-09-10,2016,9,1,1.0,False,1.0,False,9.4,0,1,53.0,True
11 Duffy St,3041,Essendon North,Western Metropolitan,Moonee Valley,h,1320000,Brad,S,2016-05-14,2016,5,3,1.0,False,1.0,False,9.4,766,0,135.0,True
4/8 Keam St,3041,Essendon North,Western Metropolitan,Moonee Valley,u,450000,Barry,SP,2016-05-14,2016,5,2,1.0,False,1.0,False,9.4,0,1,59.0,False
64 Kerferd St,3041,Essendon North,Western Metropolitan,Moonee Valley,h,1360000,Nelson,S,2017-03-18,2017,3,5,3.0,False,2.0,False,9.4,463,0,196.0,False
1/48 Keilor Rd,3041,Essendon North,Western Metropolitan,Moonee Valley,u,340000,Nelson,SP,2016-06-18,2016,6,2,1.0,False,1.0,False,9.4,0,1,65.0,False
2/31 Greville St,3041,Essendon North,Western Metropolitan,Moonee Valley,u,765000,Nelson,S,2016-11-19,2016,11,3,2.0,False,1.0,False,9.4,0,1,134.0,False
21 Greville St,3041,Essendon North,Western Metropolitan,Moonee Valley,h,1605000,Barry,S,2016-08-22,2016,8,3,2.0,False,2.0,False,9.4,607,0,167.0,True
2/26 Renown St,3041,Essendon North,Western Metropolitan,Moonee Valley,u,712000,Nelson,S,2016-08-22,2016,8,3,2.0,False,2.0,False,9.4,0,1,104.0,False
150 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,h,1250000,Jellis,VB,2016-09-03,2016,9,3,2.0,False,0.0,False,5.8,327,0,144.0,False
7 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,h,1350000,McGrath,PI,2016-12-03,2016,12,3,1.0,False,2.0,False,5.8,309,0,110.0,False
197 Wingrove St,3078,Fairfield,Northern Metropolitan,Darebin,h,1125000,Jellis,S,2016-06-04,2016,6,2,1.0,False,2.0,False,5.8,530,0,100.0,True
192 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,h,1064000,Jellis,S,2016-08-06,2016,8,3,1.0,False,1.0,False,5.8,235,0,117.0,True
229 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,h,1220000,Jellis,S,2016-05-07,2016,5,2,1.0,False,2.0,False,5.8,537,0,92.0,False
197 Station St,3078,Fairfield,Northern Metropolitan,Darebin,h,1160000,Nelson,PI,2016-05-07,2016,5,4,2.0,False,1.0,False,5.8,381,0,145.0,False
2/115 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,u,505000,Nelson,PI,2016-11-07,2016,11,2,1.0,False,1.0,False,5.8,0,1,70.0,False
20/262 Heidelberg Rd,3078,Fairfield,Northern Metropolitan,Yarra,u,602000,Jellis,S,2016-11-07,2016,11,2,1.0,False,1.0,False,5.8,0,1,77.0,False
3/260 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,t,846000,Love,SP,2016-10-08,2016,10,3,1.0,False,1.0,False,5.8,185,0,107.0,False
7/223 Station St,3078,Fairfield,Northern Metropolitan,Darebin,u,400000,Nelson,VB,2016-09-10,2016,9,2,1.0,False,1.0,False,5.8,0,1,68.0,False
2/152 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,h,610000,Thomas,S,2016-12-10,2016,12,2,1.0,False,1.0,False,5.8,66,0,83.0,True
7/59 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,u,445000,Nelson,S,2016-12-10,2016,12,2,1.0,False,1.0,False,5.8,0,1,56.0,False
3/18 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,u,730000,Jellis,S,2017-02-11,2017,2,2,1.0,False,1.0,False,5.8,0,1,70.0,True
88 Perry St,3078,Fairfield,Northern Metropolitan,Darebin,h,1730000,Jellis,S,2016-10-15,2016,10,4,2.0,False,2.0,False,5.8,490,0,226.0,False
4/28 Rushall St,3078,Fairfield,Northern Metropolitan,Darebin,u,438000,Harcourts,S,2016-10-15,2016,10,2,1.0,False,1.0,False,5.8,0,1,70.0,True
125 Grange Rd,3078,Fairfield,Northern Metropolitan,Darebin,h,1700000,Jellis,PI,2017-03-18,2017,3,3,2.0,False,1.0,False,5.8,743,0,147.0,True
1/72 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,u,510000,hockingstuart,S,2017-03-18,2017,3,2,1.0,False,1.0,False,5.8,0,1,68.0,False
4/10 Station St,3078,Fairfield,Northern Metropolitan,Yarra,u,300000,Raine,VB,2017-03-18,2017,3,1,1.0,False,1.0,False,5.8,0,1,52.0,True
139 Christmas St,3078,Fairfield,Northern Metropolitan,Darebin,h,750000,Barry,VB,2016-06-18,2016,6,3,2.0,False,1.0,False,5.8,170,0,128.0,True
45 McGregor St,3078,Fairfield,Northern Metropolitan,Darebin,h,2350000,Collins,PI,2016-06-18,2016,6,3,2.0,False,4.0,False,5.8,735,0,149.0,True
52 Rayment St,3078,Fairfield,Northern Metropolitan,Darebin,h,1350000,Nelson,VB,2016-11-19,2016,11,3,1.0,False,4.0,False,5.8,553,0,109.0,False
100 Perry St,3078,Fairfield,Northern Metropolitan,Darebin,h,1010000,Nelson,S,2016-08-22,2016,8,2,1.0,False,1.0,False,5.8,285,0,101.0,True
231 Station St,3078,Fairfield,Northern Metropolitan,Darebin,h,1065000,Nelson,S,2016-04-23,2016,4,3,1.0,False,2.0,False,5.8,630,0,137.0,True
4/224 Arthur St,3078,Fairfield,Northern Metropolitan,Darebin,t,805000,McGrath,S,2016-09-24,2016,9,2,1.0,False,1.0,False,5.8,140,0,2.0,False
225 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,h,1055000,Collins,S,2016-06-27,2016,6,3,1.0,False,2.0,False,5.8,382,0,140.0,False
15/262 Heidelberg Rd,3078,Fairfield,Northern Metropolitan,Yarra,u,548000,Nelson,SP,2016-06-27,2016,6,2,1.0,False,1.0,False,5.8,0,1,68.0,False
189 Rathmines St,3078,Fairfield,Northern Metropolitan,Darebin,h,1500000,McGrath,S,2016-11-27,2016,11,3,1.0,False,1.0,False,5.8,0,1,126.0,False
1/203 Station St,3078,Fairfield,Northern Metropolitan,Darebin,u,600000,Jellis,VB,2016-11-27,2016,11,2,1.0,False,2.0,False,5.8,0,1,75.0,False
48 Gordon St,3078,Fairfield,Northern Metropolitan,Darebin,h,1510000,Jellis,S,2016-05-28,2016,5,1,1.0,False,1.0,False,5.8,453,0,92.0,True
1/240 Arthur St,3078,Fairfield,Northern Metropolitan,Darebin,u,545000,McGrath,SP,2016-08-28,2016,8,2,1.0,False,1.0,False,5.8,0,1,77.0,False
250 Arthur St,3078,Fairfield,Northern Metropolitan,Darebin,h,1145000,McGrath,S,2016-08-28,2016,8,3,1.0,False,3.0,False,5.8,590,0,136.0,True
147 Gillies St,3078,Fairfield,Northern Metropolitan,Darebin,h,1375000,McGrath,S,2016-08-28,2016,8,3,1.0,False,1.0,False,5.8,496,0,122.0,False
111 Cecil St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1000000,Nelson,S,2016-09-03,2016,9,2,1.0,False,0.0,False,1.6,128,0,91.0,True
3/18 Hanover St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1252000,Nelson,S,2016-09-03,2016,9,3,2.0,False,2.0,False,1.6,0,1,137.0,False
4/113 Cecil St,3065,Fitzroy,Northern Metropolitan,Yarra,u,810000,Jellis,S,2016-08-06,2016,8,2,1.0,False,2.0,False,1.6,0,1,71.0,False
502/69 Victoria St,3065,Fitzroy,Northern Metropolitan,Yarra,u,692000,Nelson,S,2016-05-07,2016,5,2,1.0,False,1.0,False,1.6,0,1,79.0,True
127 George St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1780000,Peter,S,2016-11-07,2016,11,4,1.0,False,1.0,False,1.6,186,0,122.0,True
199 Moor St,3065,Fitzroy,Northern Metropolitan,Yarra,h,947500,Nelson,S,2016-11-07,2016,11,1,1.0,False,0.0,False,1.6,87,0,66.0,False
291 George St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1460000,Nelson,PI,2016-11-12,2016,11,2,1.0,False,0.0,False,1.6,0,1,105.0,False
1/59 Leicester St,3065,Fitzroy,Northern Metropolitan,Yarra,t,1520000,Jellis,S,2016-11-12,2016,11,3,2.0,False,2.0,False,1.6,0,1,137.0,True
7/56 Leicester St,3065,Fitzroy,Northern Metropolitan,Yarra,t,880000,Nelson,S,2016-08-13,2016,8,2,2.0,False,2.0,False,1.6,0,1,105.0,False
124 Westgarth St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1481000,Jellis,S,2016-08-13,2016,8,3,2.0,False,1.0,False,1.6,138,0,133.0,True
258 Napier St,3065,Fitzroy,Northern Metropolitan,Yarra,h,2200000,Nelson,VB,2016-04-16,2016,4,3,2.0,False,1.0,False,1.6,187,0,138.0,True
431 George St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1250000,Nelson,PI,2016-09-17,2016,9,3,1.0,False,1.0,False,1.6,113,0,105.0,False
190 Gore St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1440000,Nelson,S,2016-09-17,2016,9,2,1.0,False,0.0,False,1.6,95,0,88.0,True
20 Westgarth St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1315000,Jellis,S,2017-03-18,2017,3,2,1.0,False,0.0,False,1.6,141,0,89.0,True
31 Bell St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1950000,Nelson,S,2016-06-18,2016,6,4,1.0,False,0.0,False,1.6,177,0,152.0,False
5/113 Cecil St,3065,Fitzroy,Northern Metropolitan,Yarra,u,597000,Harrington,S,2016-06-18,2016,6,1,1.0,False,1.0,False,1.6,0,1,61.0,True
24/26 Victoria St,3065,Fitzroy,Northern Metropolitan,Yarra,u,650000,Nelson,S,2016-06-18,2016,6,2,1.0,False,1.0,False,1.6,0,1,78.0,True
113/300 Young St,3065,Fitzroy,Northern Metropolitan,Yarra,u,465000,Jellis,SP,2016-11-19,2016,11,1,1.0,False,1.0,False,1.6,0,1,52.0,False
60 Bell St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1620000,Nelson,S,2016-05-22,2016,5,3,2.0,False,1.0,False,1.6,132,0,165.0,False
47 Charles St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1600000,Nelson,S,2016-05-22,2016,5,3,2.0,False,1.0,False,1.6,261,0,183.0,True
10/5 St David St,3065,Fitzroy,Northern Metropolitan,Yarra,u,850000,Nelson,VB,2016-05-22,2016,5,3,2.0,False,1.0,False,1.6,0,1,115.0,False
309/416 Gore St,3065,Fitzroy,Northern Metropolitan,Yarra,u,790000,Nelson,S,2016-08-22,2016,8,2,1.0,False,1.0,False,1.6,0,1,76.0,True
84 Kerr St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1122000,Nelson,S,2016-08-22,2016,8,2,1.0,False,0.0,False,1.6,106,0,101.0,False
306/96 charles St,3065,Fitzroy,Northern Metropolitan,Yarra,u,660000,hockingstuart,SP,2016-04-23,2016,4,2,2.0,False,0.0,False,1.6,0,1,85.0,True
107 Cecil St,3065,Fitzroy,Northern Metropolitan,Yarra,h,1300000,Nelson,S,2016-09-24,2016,9,2,1.0,False,1.0,False,1.6,157,0,110.0,False
8/98 George St,3065,Fitzroy,Northern Metropolitan,Yarra,u,420000,Caine,S,2017-02-25,2017,2,1,1.0,False,1.0,False,1.6,0,1,42.0,False
101/416 Gore St,3065,Fitzroy,Northern Metropolitan,Yarra,u,715000,Nelson,S,2016-07-26,2016,7,2,1.0,False,1.0,False,1.6,0,1,74.0,False
206/424 Gore St,3065,Fitzroy,Northern Metropolitan,Yarra,u,458000,hockingstuart,S,2016-06-27,2016,6,1,1.0,False,1.0,False,1.6,0,1,62.0,False
116 Leicester St,3065,Fitzroy,Northern Metropolitan,Yarra,h,800000,Harrington,VB,2016-06-27,2016,6,2,2.0,False,1.0,False,1.6,64,0,138.0,False
9/56 Leicester St,3065,Fitzroy,Northern Metropolitan,Yarra,t,710000,Jellis,S,2016-06-27,2016,6,2,1.0,False,1.0,False,1.6,0,1,90.0,False
6/226 Moor St,3065,Fitzroy,Northern Metropolitan,Yarra,u,630000,hockingstuart,VB,2016-06-27,2016,6,2,1.0,False,1.0,False,1.6,0,1,70.0,False
11 Henry St,3065,Fitzroy,Northern Metropolitan,Yarra,h,677000,Chambers,S,2016-11-27,2016,11,2,1.0,False,0.0,False,1.6,67,0,87.0,True
233/4 Bik La,3068,Fitzroy North,Northern Metropolitan,Yarra,u,700000,Woodards,SP,2016-09-03,2016,9,2,2.0,False,1.0,False,3.5,0,1,85.0,False
470 Brunswick St,3068,Fitzroy North,Northern Metropolitan,Yarra,h,860000,Woodards,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.5,104,0,70.0,False
50 Freeman St,3068,Fitzroy North,Northern Metropolitan,Yarra,h,870000,Nelson,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.5,107,0,64.0,False
76 Newry St,3068,Fitzroy North,Northern Metropolitan,Yarra,h,1116000,Nelson,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.5,152,0,90.0,True
2 Pilkington St,3068,Fitzroy North,Northern Metropolitan,Yarra,h,1450000,Nelson,VB,2016-09-03,2016,9,4,2.0,False,1.0,False,3.5,266,0,175.0,False
129/4 Bik La,3068,Fitzroy North,Northern Metropolitan,Yarra,u,700000,Collins,SP,2017-03-04,2017,3,2,2.0,False,2.0,False,3.5,0,1,90.0,True
276 McKean St,3068,Fitzroy North,Northern Metropolitan,Yarra,h,2170000,Nelson,S,2017-03-04,2017,3,3,2.0,False,1.0,False,3.5,177,0,141.0,True
